,question,result
71,"오사카 전투로 인해 도요토미 가문은 어떻게 멸망되었으며, 그 과정에서 어떤 사건들이 일어났나?","1. 오사카 전투로 인해 도요토미 가문이 멸망한 이유는 무엇이었나?
2. 도요토미 가문 멸망 과정에서 중요한 사건들은 무엇이 있었나?"
910,각가속도의 단위는 무엇이며 그리스 문자로 표시되는가?,"1. 각가속도의 단위는 무엇인가?
2. 각가속도를 그리스 문자로 표시하는 방법은?"
690,"아랍 문학에서 가장 중요한 작품과 작가들은 누구이며, 그들의 업적은 무엇인가?","1. 아랍 문학에서 대표적인 작품과 작가는 무엇인가?
2. 아랍 문학에서 가장 영향력 있는 작가들은 누구인가?"
684,"축구공은 처음으로 사용된 재료가 무엇이었으며, 시간이 지나면서 어떤 변화가 있었을까요?","1. 축구공 처음 사용된 재료는 무엇이었나요?
2. 축구공이 시간이 지남에 따라 어떤 변화가 있었을까요?"
78,"봄여름가을겨울은 언제 결성되었고, 현재 구성원은 누구인가?","1. 봄여름가을겨울은 언제 결성되었는가?
2. 봄여름가을겨울의 현재 구성원은 누구인가?"
375,"강금실은 법학을 공부한 곳이 어디이며, 졸업 후 어떤 경력을 쌓았는가?","1. 강금실은 법학을 공부한 곳이 어디인가요?
2. 강금실은 졸업 후 어떤 경력을 쌓았는가?"
589,"북조선인민위원회는 언제부터 존재했으며, 그 원인은 무엇인가?","1. 북조선인민위원회 설립 시기는 언제인가?
2. 북조선인민위원회 설립 이유는 무엇인가?"
128,"크리스토퍼 콜럼버스는 언제 죽었고, 어디서 사망했는가?","1. 크리스토퍼 콜럼버스 사망일은 언제인가?
2. 크리스토퍼 콜럼버스는 어디서 사망했는가?"
1019,"1904년 하계 올림픽은 어디서 개최되었으며, 언제부터 시작되어 언제까지 지속되었습니다?","1. 1904년 하계 올림픽 개최 장소는 어디인가?
2. 1904년 하계 올림픽 시작일과 종료일은 언제인가?"
646,캐논 EOS 30D 카메라의 발표 날짜와 발매 날짜는 언제인가?,"1. 캐논 EOS 30D 카메라 발표 일자는 언제인가?
2. 캐논 EOS 30D 카메라 발매 일자는 언제인가?"
93,"이두황은 어떤 종교를 믿었으며, 그의 선대와 직계 선조에 대해 무엇이 알려져 있는가?","1. 이두황은 어떤 종교를 믿었는가?
2. 이두황의 선대와 직계 선조에 대해 무엇이 알려져 있는가?"
111,"록 밴드의 일반적인 멤버 구성은 몇 명이며, 어떤 악기들을 사용하는가?","1. 록 밴드의 일반적인 멤버 구성은 몇 명인가?
2. 록 밴드는 일반적으로 어떤 악기들로 구성되는가?"
470,"카젬 알하에리는 어떤 성직자의 후계자로 간주되고 있으며, 무크타다 알사드르와의 관계는 어떻게 되는가?","1. 카젬 알하에리는 어떤 성직자의 후계자로 간주되고 있는가?
2. 카젬 알하에리와 무크타다 알사드르와의 관계는 어떻게 되는가?"
752,북반구와 남반구의 7월 기온 차이는 무엇인가?,"1. 북반구와 남반구의 7월 기온 차이는 왜 생겨나는가?
2. 7월 북반구와 남반구의 기온 비교 데이터 분석 결과는 어떠한가?"
518,"과학철학의 중심 논제는 무엇이며, 그에 대한 다양한 관점은 무엇인가?","1. 과학철학의 중심 논제는 무엇인가?
2. 과학철학에 대한 다양한 관점은 무엇인가?"
915,"층밀림 변형(shear strain)와 관련된 공식은 무엇이며, 그 의미는 무엇인가?","1. 층밀림 변형(shear strain) 공식은 무엇인가?
2. 층밀림 변형(shear strain)의 의미는 무엇인가?"
301,"일광 절약 시간제는 언제부터 시작되었으며, 그 원인은 무엇인가?","1. 일광 절약 시간제는 언제부터 시작되었는가?
2. 일광 절약 시간제가 도입된 이유는 무엇인가?"
294,"문자의 출현과 역사 시대, 선사 시대의 구분은 어떻게 되는가?","1. 문자의 출현은 어떻게 구분되는가?
2. 역사 시대, 선사 시대의 구분은 어떻게 되는가?"
61,본 서신의 구성과 구조는 어떻게 되는가?,"1. 본 서신의 구성은 무엇으로 이루어져 있는가?
2. 본 서신의 구조는 어떻게 되어 있는가?"
856,"존 번연이 투옥된 이유는 무엇이었고, 그 기간은 얼마나 지났나요?","1. 존 번연이 투옥된 이유는 무엇인가?
2. 존 번연의 투옥 기간은 얼마인가?"
206,코난의 전사로서의 능력과 그의 모험에 대해 설명해 주세요.,"1. 코난의 전사로서의 능력은 무엇인가요?
2. 코난의 다양한 모험에 대해 설명해 주세요."
463,DCT 알고리즘의 종류와 역변환이 어떻게 이루어지는가?,"1. DCT 알고리즘의 종류는 무엇인가?
2. DCT 알고리즘의 역변환은 어떻게 이루어지는가??"
953,음즙벌국의 위치는 어디이고 최종적인 운명은 무엇이었나?,"1. 음접벌국 위치는 어디인가?
2. 음족벌국의 최종 운명은 무엇이었나요?"
29,"IOC 총회에서 1964년 동계 올림픽의 개최지로 결정된 곳은 무엇이었고, 그 날짜는 언제였습니까?","1. IOC 총회에서 1964년 동계 올림픽의 개최지는 어디였나요?
2. 1964년 동계 올림픽의 개최 날짜는 언제였나요?"
445,"코미 공화국의 주민은 누구이며, 그 중 러시아인들의 비율은 얼마인가?","1. 코미 공화국의 주민은 누구인가?
2. 코미 공화국의 주민 중 러시아인들의 비율은 얼마인가?"
1018,"현재의 교과서 일련번호 부여 원칙은 어떤 방식으로 이루어졌으며, 과거의 교과서 일련번호 부여 원칙은 어떻게 다른가?","1. 현재의 교과서 일련번호 부여 원칙은 어떤 방식으로 이루어졌는가?
2. 과거의 교과서 일련번호 부여 원칙과 현재의 교과서 일련번호 부여 원칙은 어떻게 다른가?"
912,"남베트남 공화국이 멸망한 이후, 미국에서 월남 출신 베트남인들은 어디에 정착하였으며, 그 지역은 현재 어떻게 불리고 있는가?","1. 남베트남 공화국이 멸망한 이후 미국에서 월남 출신 베트남인들의 이주 지역은?
2. 월남 출신 베트남인들이 정착한 지역의 현재 이름은 무엇인가?"
11,그는 어디서 출생했으며 본관은 무엇인가?,"1. 그는 출생지가 어디인가?
2. 그의 본관은 무엇인가?"
363,"호사비오리와 관련된 대한민국의 법적 보호 상태는 무엇이고, 호사비오리가 발견되는 지역은 어디인가?","1. 호사비오리와 관련된 대한민국의 법적 보호 상태는 무엇인가요?
2. 호사비오리가 발견되는 지역은 어디인가?"
63,"김종현은 고려의 어떤 역할을 맡았으며, 그에 대한 업적은 무엇인가?","1. 김종현이 고려에서 맡은 역할은 무엇이었나요?
2. 김종현의 고려 업적에 대해 자세히 알려주세요."
1079,"아르메니아 제1공화국은 언제부터 언제까지 존재했으며, 그 후에 어떻게 되었는가?","1. 아르메니아 제1공화국의 언제부터 언제까지 존재했는가?
2. 아르메니아 제1공화국이 무너진 이후 어떤 사건이 발생했나요?"
937,"타르튀프에서 오르공은 누구를 집에 들여 성인처럼 대해 주었으며, 그 이유는 무엇인가?","1. 타르튀프에서 오르공은 누구를 집에 들여 성인처럼 대해주었는가?
2. 타르튀프에서 오르공은 사람을 집에 들여 성인처럼 대해준 이유는 무엇인가?"
230,"삼천포는 과거에 어떤 이름으로 불려왔으며, 그 역사적 배경은 무엇인가?","1. 삼천포의 과거 이름은 무엇이었나요?
2. 삼천포의 과거 이름과 관련된 역사적 배경은 무엇인가요?"
768,"시니어 콤플렉스의 특징과 혜택은 무엇이며, 입주자들은 어떤 활동을 할 수 있나요?","1. 시니어 콤플렉스의 특징과 혜택은 무엇인가요?
2. 시니어 콤플렉스 입주자들이 할 수 있는 활동은 무엇인가요?"
1111,"우즈베키스탄에서 알리셰르 나보이의 이름을 따서 만들어진 건물과 기념물은 무엇이며, 그 이유는 무엇인가?","1. 우즈베키스탄에서 알리셰르 나보이의 이름을 따서 만들어진 건물은 무엇인가?
2. 우즈베키스탄에서 알리셰르 나보이의 이름을 따서 만들어진 기념물은 무엇인가?
3. 우즈베키스탄에서 알리셰르 나보이의 이름을 따서 건축물과 기념물을 세운 이유는 무엇인가?"
881,"에콰도르는 FIFA 월드컵에서 몇 번 출전했으며, 그 중 가장 좋은 성적은 무엇인가?","1. 에콰도르 축구 대표팀이 FIFA 월드컵에 몇 차례 출전했는가?
2. 에콰도르 축구 대표팀의 FIFA 월드컵 최고 성적은 무엇인가?"
847,"그의 저서들은 어디에서 큰 화제가 되었으며, 대만에서는 얼마나 많은쇄를 인쇄하는 기록을 세웠는가?","1. 황인우의 저서들이 어디에서 큰 화제가 되었는가?
2. 대만에서 황인우의 저서가 얼마나 많은 쇄를 인쇄했는가?"
224,보건복지부의 역할과 주요 분야는 무엇인가?,"1. 보건복지부의 역할은 무엇인가?
2. 보건복지부가 관여하는 주요 분야는 무엇인가?"
501,"교황 비오 3세가 어떤 성당의 부제급 추기경에 서임되었으며, 그 날짜는 언제인가?","1. 교황 비오 3세가 어떤 성당의 부제급 추기경에 서임되었나요?
2. 교황 비오 3세가 어떤 성당의 부제급 추기경에 서임된 날짜는 언제인가?"
456,"소브린 금화는 언제부터 발행되었고, 원래는 어떤 용도로 사용되었습니다?","1. 소브린 금화는 언제부터 발행되었나요?
2. 소브린 금화는 어떤 용도로 사용되었습니다?"
551,리틀록에서 생산되는 공업 제품은 무엇인지 알려주세요.,"1. 리틀록에서 생산되는 공업 제품 목록을 나열해 주세요
2. 리틀록의 공업 제품 종류는 무엇인가요?"
778,곡산역의 승강장 구조와 스크린도어 상태는 어떻게 되나요?,"1. 곡산역 승강장 구조를 설명해 주세요.
2. 곡산역 스크린도어 상태 확인 방법은 무엇인가요?"
89,"주요섭의 대표작으로는 무엇이 있으며, 그 중 하나인 《사랑 손님과 어머니》는 어디에서 출판되었나?","1. 주요 섭의 대표작은 무엇인가?
2. 사랑 손님과 어머니는 어디에서 출판되었는가?"
505,"한자의 기원은 무엇이며, 가장 오래된 문자는 어디서 발견되었는가?","1. 한자의 기원은 무엇인가요?
2. 한자의 가장 오래된 문자는 어디서 발견되었는가?"
860,"서춘의 친일 행적과 그로 인한 결과, 그리고 관련된 사례에 대해 알려주세요.","1. 서춘의 친일 행적은 무엇인가?
2. 서춘의 친일 행적으로 인한 결과는 무엇인가?
3. 서춘과 관련된 친일 행적에 대한 사례는 어떤 것이 있는가?"
317,"이상호의 생년월일은 무엇이고, 어느 대학에서 학사 학위를 받았나?","1. 이상호의 생년월일은 언제인가요?
2. 이상호 어느 대학에서 학사 학위를 받았나?"
479,보르네오섬의 위치와 크기는 무엇인가?,"1. 보르네오섬의 위치는 어디에 있나요?
2. 보르네오섬의 크기는 얼마나 되나요?"
1125,"탈리도마이드는 언제부터 판매되었고, 어떤 회사에서 개발했으며, 처음에는 어떤 이름으로 판매되었습니까?","1. 탈리도마이드의 판매 시작 시기는 언제인가?
1. 탈리도마이드를 개발한 회사는 무엇인가?
2. 탈리도마이드는 처음에 어떤 이름으로 판매되었는가?"
1137,아프리카 대륙 주변의 바다와 수로 이름은 무엇인가?,"1. 아프리카 대륙 주변의 바다 이름은 무엇인가?
2. 아프리카 대륙 주변의 수로 이름은 무엇인가?"
879,"innerHTML 속성은 어떤 웹 브라우저에 의해 지원되고 있으며, DOM을 기반으로 한 Ajax를 이용하는 경우의 장점은 무엇인가?","1. innerHTML 속성을 지원하는 웹 브라우저 목록은 무엇인가?
2. DOM 기반 Ajax의 장점은 무엇인가?"
1097,"리눅스 배포판은 무엇이며, 유닉스 계열 OS들과는 어떻게 다른가?","1. 리눅스 배포판 종류는 무엇인가?
2. 리눅스와 유닉스 계열 OS들의 차이점은 무엇인가?"
1088,"후쿠다 다케오가 어떤 경력을 가지고 있었으며, 그가 총리직을 사임한 이유는 무엇인가?","1. 후쿠다 다케오의 경력은 무엇인가?
2. 후쿠다 다케오가 총리직을 사임한 이유는 무엇닌가?"
34,여의도공원의 위치와 면적은 무엇인가?,"1. 여의도공원은 어디에 있습니까?
2. 여의도공원 면적은 얼마인가요?"
921,"예언자란 무엇이며, 그 역할은 무엇인가?","1. 예언자란 무엇인가?
2. 예언자의 역할은 무엇인가?"
483,"구마모토시의 위치는 어디이고, 인구는 얼마나 되는가?","1. 구마모토시의 위치는 어디인가?
2. 구마모토시의 인구는 얼마나 되는가?"
118,양산시의 연 평균 기온과 기후 특징은 무엇인가?,"1. 양산시의 연 평균 기온은 얼마인가?
2. 양산시의 기후 특징은 무엇인가?"
494,노릴스크에서 생산되는 금속과 그 비율은 무엇인가?,"1. 노릴스크에서 생산되는 금속은 무엇인가요?
2. 노릴스크에서 생산되는 금속의 비율은 무엇인가?"
308,조훈현의 부인과 이종사촌 동생의 이름은 무엇인가?,"1. 조훈현의 부인 이름은 무엇인가?
2. 조훈현의 이종사촌 동생의 이름은 무엇인가?"
772,아독 선장의 역할과 성격에 대해 알려주세요.,"1. 아독 선장의 역할은 무엇인가요?
2. 아독 선장의 성격은 어떻게 되나요?"
104,요하네스 케플러가 태어난 곳과 직업은 무엇인가?,"1. 요하네스 케플러가 태어난 곳은 어디인가?
2. 요하네스 케플러의 직업은 무엇인가?"
1091,"제니퍼 로페즈가 2011년 《아메리칸 아이돌》에서 심사위원으로 활동하면서 발매한 앨범은 무엇이었고, 그 앨범의 리드 싱글은 무엇인가?","1. 제니퍼 로페즈가 2011년 《아메리칸 아이돌》에서 심사위원으로 활동하면서 발매한 앨범은 무엇인가?
2. 제니퍼 로페즈가 2011년 《아메리칸 아이돌》에서 심사위원으로 활동하면서 발매한 앨범의 리드 싱글은 무엇인가?"
882,"에콰도르는 볼리바르 경기 대회에서 어떠한 성적을 거두었으며, 그 중 가장 좋은 결과는 무엇인가?","1. 에콰도르 볼리바르 경기 대회 성적은 어떠하였는가?
2. 에콰도르 볼리바르 경기 대회 최고 성적은 무엇인가?"
1008,"김원벽이 독립운동에 참여한 이유는 무엇이었으며, 그 과정에서 어떤 경험을 하였는가?","1. 김원벽이 독립운동에 참여한 이유는 무엇인가?
2. 김원벽이 독립운동에 참여한 과정에서 어떤 경험을 하였는가?"
693,동부 열곡대와 서부 열곡대를 구분하는 기준은 무엇인가요? 남서 열곡대에 포함되는 오카방고 열곡대는 어디에 위치하고 있나요?,"1. 동부 열곡대와 서부 열곡대를 구분하는 지리적 기준은 무엇인가요?
2. 오카방고 열곡대는 남서 열곡대의 어느 지역에 위치하고 있나요?"
1089,"제니퍼 로페즈가 처음으로 주연을 맡은 영화는 무엇이었고, 그 년도는 언제인가?","1. 제니퍼 로페즈의 첫 주연 영화 제목은 무엇인가?
2. 제니퍼 로페즈의 첫 주연 영화 개봉 년도는 언제인가?"
792,필리피코스는 어떤 사건으로 인해 황제가 되었나?,"1. 필리피코스 황제가 되기 위한 과정은 무엇인가?
2. 필리피코스가 황제가 된 이유는 무엇인가요?"
696,서브프라임 사건으로 인해 AIG가 받은 구제금융 금액을 알려주세요.,"1. 서브프라임 사건 AIG 구제금융 규모는 얼만큼 되나요?
2. AIG 서브프라임 사건 구제금융 얼마 받았나요?"
868,에탄올의 다른 이름들과 용도는 무엇인가?,"1. 에탄올의 다른 이름은 무엇인가?
2. 에탄올은 어떤 용도로 사용되는가?"
725,현대자동차가 독일 포드의 그라나다를 생산하기로 결정하는 이유는 무엇인가?,"1. 현대자동차가 독일 포드의 그라나다를 생산하기로 결정한 배경은 무엇인가?
2. 현대자동차가 독일 포드의 그라나다를 생산하는 이유는 무엇인가?"
1171,기민당과 사민당의 부패가 드러나면서 두 정당은 해체되기에 이른 시기와 그 결과는 무엇인가?,"1. 기민당과 사민당의 부패가 드러나면서 두 정당이 해체되기에 이른 시기는 언제인가?
2. 기민당과 사민당의 부패로 인한 두 정당 해체 결과는 무엇인가?"
39,"대한불교조계종은 공식적으로 어떤 사람을 종조로, 중천조로, 중흥조로 인정하고 있나요?","1. 대한불교조계종 종조로 인정되는 기준은 무엇인가요?
2. 대한불교조계종이 중천조, 중흥조로 인정하는 사람에 대한 조건은 무엇인가요?"
484,"구마모토시의 산업은 무엇이며, 그 중 가장 큰 비중을 차지하는 산업은 무엇인가?","1. 구마모토시의 산업은 무엇인가?
2. 구마모토시의 산업 중 가장 큰 비중을 차지하는 산업은 무엇인가?"
247,교황 실베스테르 2세의 본명과 재위 기간은 무엇인가?,"1. 교황 실베스테르 2세의 본명은 무엇인가?
2. 교황 실베스테르 2세의 재위 기간은 어떻게 되는가?"
535,고토구의 역사적인 배경은 무엇인가?,"1. 고토구의 역사적 배경은 무엇인가?
2. 고토구의 기원과 역사는 무엇인가?"
326,"베스트팔렌 체제는 언제부터 언제까지 유지되었으며, 이 기간 동안 어떤 국가가 패권국 지위를 유지했나?","1. 베스트팔렌 체제는 언제부터 언제까지 유지되었나요?
2. 베스트팔렌 체제동안 어떤 국가가 패권국 지위를 유지했나?"
449,"키보드 워리어를 부정적으로 서술하는 이유는 무엇이며, 이러한 표현은 언제부터 사용되기 시작했는가?","1. 키보드 워리어를 부정적으로 서술하는 이유는 무엇인가요?
2. 키보드 워리어 표현은 언제부터 사용되기 시작했는가?"
310,조훈현의 성씨를 중국어권과 일본어권에서는 어떻게 표기하는가?,"1. 조훈현 성씨를 중국어권에서는 어떻게 쓰나요?
2. 조훈현 성씨를 일본어권에서는 어떻게 표기하나요?"
1166,"고트어로 표기된 가장 오래된 문헌은 무엇이고, 그에 담긴 정보는 무엇인가요?","1. 고트어로 표기된 가장 오래된 문헌은 무엇인가요?
2. 고트어로 표기된 가장 오래된 문헌에 어떤 정보가 담겨있나요?"
892,"노린재라는 이름은 어디서 왔으며, 그 이유는 무엇인가?","1. 노린재라는 이름의 유래는 무엇인가?
2. 노린재라는 이름의 배경은 무엇인가?"
1113,"《호기심 천국》 프로그램이 종영된 이유는 무엇이었고, 비슷한 교육 오락 프로그램들은 어떤 것들이 있나요?","1. 《호기심 천국》 프로그램이 종영된 이유는 무엇이었나요?
2. 《호기심 천국》 프로그램고 비슷한 교육 오락 프로그램은 어떤 것들이 있나요?"
426,필즈상 수상자 명단에서 1990년 에드워드 위튼과 2014년 마리암 미르자하니의 경우를 설명해 주세요.,"1. 필즈상 수상자 명단에서 1990년 에드워드 위튼은 누구인가요?
2. 필즈상 수상자 명단에서 2014년 마리암 미르자하니는 누구인가요?"
516,"과학철학에서 다루는 주요 문제들은 무엇이며, 철학자들 사이에서는 어떤 의견이 있는가?","1. 과학철학에서 다루는 주요 문제들은 무엇인가?
2. 과학철학에 대해 철학자들 사이에서 어떤 의견들이 있는가?"
155,"호노리오 1세가 제정한 성 십자가 현양 축일은 언제이며, 그 의미는 무엇인가?","1. 호노리오 1세 성 십자가 현양 축일은 언제인가?
2. 성 십자가 현양 축일의 의미는 무엇인가?"
1237,에셔가 다니던 학교와 그의 작품 활동 경로는 어디였는가?,"1. 에셔가 다니던 학교는 어디에 있었나요?
2. 에셔의 작품 활동 경로는 어떻게 되었나요?"
1006,"김원벽이 언론인으로 활동한 신문들은 무엇이며, 얼마 동안 활동했는가?","1. 김원벽이 언론인으로 활동한 신문 이름들은 무엇인가?
2. 김원벽이 각 언론사별로 활동한 기간은 얼마인가?"
1243,"게임보이 어드밴스 SP는 어떤 종류의 게임을 지원하며, 헤드폰을 사용하는 방법은 무엇입니까?","1. 게임보이 어드밴스 SP가 지원하는 게임 종류는 무엇인가?
2. 헤드폰을 게임보이 어드밴스 SP에 연결하는 방법은 무엇인가?"
356,"이항녕이 졸업한 학교는 무엇이며, 그 후의 경력은 무엇인가?","1. 이항녕이 졸업한 학교는 어디인가?
2. 이항녕 졸업 후 경력은 무엇인가?"
1095,"PC방은 언제부터 시작되었으며, 최초의 PC방은 어디에 위치해 있었습니까?","1. PC방의 최초 설립 시기는 언제인가?
2. 최초의 PC방이 위치한 장소는 어디인가요?"
1116,"오버레이설주의 주도는 무엇이며, 면적은 얼마인가?","1. 오버레이설주의 주도는 무엇인가?
2. 오버레이설주의 면적은 얼마인가?"
386,8비트는 컴퓨터 구조에서 어떤 용도로 사용되는가?,"1. 8비트 컴퓨터 구조 용도
2. 8비트 기술 활용 방법"
4,"과거의 전동차는 어떻게 제어되었으며, 그 방식의 문제점은 무엇이었는지 알려주세요.","1. 전동차의 과거 제어 방식은 무엇이었나요?
2. 전동차의 과거 제어 방식의 문제점은 무엇이 있었나요?"
114,"안필립이 태어난 장소는 어디이며, 몇 번째로 태어난 자녀인가?","1. 안필립이 태어난 장소는 어디인가?
2. 안필립은 몇 번째로 태어난 자녀인가?"
1239,"고선지 장군은 어느 년도에 당나라 유격장군이 되었으며, 그 후 어떤 활동을 하였습니까?","1. 고선지 장군이 당나라 유격장군이 된 년도는 언제인가?
2. 고선지 장군이 당나라 유격장군이 된 후 어떤 활동을 했나요?"
171,"손정의는 어디서 태어났으며, 그의 조부는 어떤 일을 하였습니까?","1. 손정의의 출생지는 어디인가요?
2. 손정의의 조부는 어떤 일을 했나요?"
843,"국제 적십자·적신월 운동의 창시자는 누구이며, 언제부터 시작되었는가?","1. 국제 적십자·적신월 운동의 창시자는 누구인가?
2. 국제 적십자·적신월 운동은 언제부터 시작되었는가?"
1143,"멕시코-미국 전쟁은 언제부터 언제까지 일어났고, 그 원인은 무엇인가?","1. 멕시코-미국 전쟁 시작일은 언제인가?
2. 멕시코-미국 전쟁 종료일은 언제인가?
3. 멕시코-미국 전쟁의 원인은 무엇이었는가?"
466,힌덴부르크호의 제작 배경과 내부 설계는 무엇인가?,"1. 힌덴부르크호의 제작 배경은 무엇인가?
2. 힌덴부르크호의 내부 설계는 무엇인가?"
406,"미국 대통령 우드로 윌슨은 평화 원칙에 대해 어떤 생각을 가지고 있었으며, 그와 관련된 그의 목표는 무엇이었습니까?","1. 미국 대통령 우드로 윌슨은 평화 원칙에 대해 어떤 생각을 가지고 있었나요?
2. 미국 대통령 우드로 윌슨은 평화 원칙과 관련된 그의 목표는 무엇이었습니까?"
413,토끼풀의 잎과 꽃의 특징은 무엇인가요?,"1. 토끼풀의 잎의 특징은 무엇인가요?
2. 토끼풀의 꽃의 특징은 무엇인가요?"
972,"셔틀콕은 어떤 특징을 가지고 있으며, 배드민턴 공식적인 경기는 어디서 열리는가?","1. 셔틀콕의 특징은 무엇인가요?
2. 배드민턴 공식적인 경기는 어디서 열리나요?"
373,"강금실은 언제 태어났으며, 어디서 태어났는가?","1. 강금실은 언제 태어났나요?
2. 강금실은 어디서 태어났는가?"
672,"현대 튀르크족에는 어떤 민족 집단들이 포함되어 있으며, 그들 사이에 어떤 유전적 기원이 공유되고 있습니까?","1. 튀르크족에 포함된 민족 집단은 무엇이 있나요?
2. 튀르크족 간에 공유되는 유전적 기원은 무엇인가요?"
133,"라플라스 가족은 어떤 환경에서 살았으며, 그는 어떻게 교육을 받았는가?","1. 라플라스 가족의 생활 환경은 어떠한가?
2. 라플라스는 어떻게 교육을 받았나?"
